"","Var1","Freq"
"1","0",0.126530612244898
"2","1",0.125510204081633
"3","2",0.119387755102041
"4","3",0.109183673469388
"5","4",0.108163265306122
"6","5",0.0979591836734694
"7","6",0.0673469387755102
"8","7",0.0581632653061224
"9","8",0.0551020408163265
"10","9",0.05
"11","10",0.0459183673469388
"12","11",0.036734693877551
