p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
ALDH2,5.7071259562148e-25,0.359880657010023,0.907,0.78,5.70370168064107e-21,M2,ALDH2
MT1E,1.19767371519452e-24,0.689219875297272,0.401,0.082,1.1969551109654e-20,M2,MT1E
TRPV2,2.2721834397673e-24,0.44155698309031,0.351,0.046,2.27082012970344e-20,M2,TRPV2
OPN3,2.79988426226441e-24,0.457995462133067,0.462,0.148,2.79820433170706e-20,M2,OPN3
ADAMTSL4,3.3393424657943e-24,0.432544360433757,0.396,0.076,3.33733886031482e-20,M2,ADAMTSL4
VSIG4,5.7491390657219e-24,0.475462777355413,0.722,0.359,5.74568958228247e-20,M2,VSIG4
CTSD,8.83523423129005e-24,0.33848352952524,0.999,0.888,8.82993309075127e-20,M2,CTSD
SPN,9.54698026214389e-24,0.447661151245034,0.524,0.207,9.5412520739866e-20,M2,SPN
VAT1,1.1473193136088e-23,0.432621195966572,0.469,0.151,1.14663092202063e-19,M2,VAT1
ACOT7,2.29404740869972e-23,0.406878271556386,0.309,0.023,2.2926709802545e-19,M2,ACOT7
ACO1,2.52927030138104e-23,0.40457649001825,0.333,0.046,2.52775273920021e-19,M2,ACO1
PECAM1,5.52123503308837e-23,0.423941754172692,0.602,0.283,5.51792229206851e-19,M2,PECAM1
MCEMP1,6.49872921286448e-23,0.449511606700999,0.805,0.533,6.49482997533676e-19,M2,MCEMP1
HLA-DRB5,6.6363837236569e-23,0.528078600761863,0.749,0.345,6.63240189342271e-19,M2,HLA-DRB5
FABP5,7.33938884020933e-23,0.403777601802696,0.926,0.684,7.33498520690521e-19,M2,FABP5
GM2A,1.84268699588346e-22,0.442198166748654,0.516,0.211,1.84158138368593e-18,M2,GM2A
CTSZ,8.92292053737187e-22,0.307552758233803,0.91,0.786,8.91756678504944e-18,M2,CTSZ
LAMP1,1.68566030656123e-21,0.370944452248348,0.725,0.516,1.6846489103773e-17,M2,LAMP1
LTA4H,2.37572191745198e-21,0.374518634106348,0.763,0.582,2.3742964843015e-17,M2,LTA4H
JUN,2.77285667709371e-21,0.351662544357887,0.948,0.796,2.77119296308746e-17,M2,JUN
PCOLCE2,7.17583754527012e-21,0.376666873475945,0.257,0.007,7.17153204274296e-17,M2,PCOLCE2
TNNI2,7.81195070310552e-21,0.413775029144877,0.334,0.059,7.80726353268366e-17,M2,TNNI2
CXCL16,1.15007071006045e-20,0.277982049396313,0.891,0.796,1.14938066763441e-16,M2,CXCL16
AKR1B1,2.7166752433933e-20,0.418737290346827,0.58,0.312,2.71504523824727e-16,M2,AKR1B1
SLC15A3,7.80562330174707e-20,0.399500787314961,0.419,0.145,7.80093992776602e-16,M2,SLC15A3
UBASH3B,8.18391200041804e-20,0.379385244419129,0.321,0.059,8.17900165321779e-16,M2,UBASH3B
CA2,1.59252584217951e-19,0.427641791629512,0.334,0.069,1.5915703266742e-15,M2,CA2
PLEKHO2,3.50626457537545e-19,0.376520774327961,0.37,0.105,3.50416081663023e-15,M2,PLEKHO2
PRSS21,4.71964221585477e-19,0.362136645923504,0.259,0.02,4.71681043052526e-15,M2,PRSS21
GBP1,7.10579243495652e-19,0.376730874815178,0.33,0.069,7.10152895949555e-15,M2,GBP1
AMIGO2,8.84455705063306e-19,0.384598201777055,0.365,0.102,8.83925031640268e-15,M2,AMIGO2
TREM2,9.86987472467277e-19,0.473419113273606,0.503,0.237,9.86395279983796e-15,M2,TREM2
C9orf16,1.21281612349813e-18,0.272802780780853,0.852,0.776,1.21208843382403e-14,M2,C9orf16
PNPLA6,2.25081912438138e-18,0.401588942817355,0.457,0.211,2.24946863290675e-14,M2,PNPLA6
ADAM17,2.35374012271961e-18,0.384823412676456,0.57,0.339,2.35232787864598e-14,M2,ADAM17
LRP1,2.40971022191902e-18,0.378494655077082,0.504,0.234,2.40826439578587e-14,M2,LRP1
MLPH,3.17759009553493e-18,0.338884908457254,0.277,0.043,3.17568354147761e-14,M2,MLPH
CES1,3.24386524539515e-18,0.464106810144866,0.515,0.237,3.24191892624791e-14,M2,CES1
APOL6,2.11188244485787e-17,0.357886678734378,0.386,0.122,2.11061531539095e-13,M2,APOL6
ENPP4,2.26020347373084e-17,0.34662535944803,0.359,0.112,2.2588473516466e-13,M2,ENPP4
LIMA1,2.98577463181734e-17,0.353698209589823,0.278,0.049,2.98398316703825e-13,M2,LIMA1
EVI2B,3.12798272666143e-17,0.330759338289857,0.725,0.549,3.12610593702543e-13,M2,EVI2B
LINC01272,3.48399165142897e-17,0.326124016455154,0.834,0.661,3.48190125643811e-13,M2,LINC01272
APLP2,5.03118230955389e-17,0.256271140662148,0.908,0.803,5.02816360016815e-13,M2,APLP2
RTN4,6.97791215820238e-17,0.26600600552512,0.827,0.74,6.97372541090746e-13,M2,RTN4
DAB2,8.71666156485075e-17,0.324318388670351,0.712,0.487,8.71143156791184e-13,M2,DAB2
BSG,1.12458985695906e-16,0.288769153887287,0.781,0.704,1.12391510304488e-12,M2,BSG
MMD,1.22593205880537e-16,0.334276101552936,0.337,0.099,1.22519649957009e-12,M2,MMD
MAFB,1.54788251186296e-16,0.388037221152365,0.62,0.378,1.54695378235584e-12,M2,MAFB
MACC1,1.57870925079149e-16,0.34437415947034,0.274,0.046,1.57776202524102e-12,M2,MACC1
VMO1,1.61748748811069e-16,0.379373865885361,0.342,0.089,1.61651699561782e-12,M2,VMO1
CD300LF,2.02128929731139e-16,0.309214322423279,0.271,0.043,2.020076523733e-12,M2,CD300LF
MT-ND4L,2.49536353786028e-16,0.335288043259793,0.771,0.711,2.49386631973757e-12,M2,MT-ND4L
