p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
ITPR3,0,0.605878685154117,0.555,0.024,0,0,ITPR3
GPC4,0,0.602235556478571,0.528,0.03,0,0,GPC4
MMP7,0,0.601970811778595,0.383,0.005,0,0,MMP7
CAPN8,0,0.601956517183771,0.489,0.003,0,0,CAPN8
PRR15L,0,0.59701162170369,0.493,0.003,0,0,PRR15L
ST3GAL5,0,0.590607382479407,0.565,0.046,0,0,ST3GAL5
RAI14,0,0.587369123064265,0.526,0.025,0,0,RAI14
PEBP4,0,0.585313645221224,0.454,0.001,0,0,PEBP4
MAGI3,0,0.573114424375159,0.534,0.034,0,0,MAGI3
PON3,0,0.556852459823196,0.445,0.001,0,0,PON3
SEZ6L2,0,0.555927624285097,0.479,0.008,0,0,SEZ6L2
SLC22A31,0,0.550219584331681,0.467,0.004,0,0,SLC22A31
GRB7,0,0.550215022763284,0.508,0.033,0,0,GRB7
SLC26A9,0,0.544776327626006,0.449,0.003,0,0,SLC26A9
HOXD1,0,0.542777128219128,0.449,0.002,0,0,HOXD1
ATHL1,0,0.531069697049851,0.504,0.033,0,0,ATHL1
ALPL,0,0.531047999611424,0.418,0.001,0,0,ALPL
FAM83A,0,0.519964003586035,0.421,0.002,0,0,FAM83A
SCTR,0,0.515308762817133,0.431,0.003,0,0,SCTR
EGFL7,0,0.512115483217069,0.452,0.02,0,0,EGFL7
RP5-1159O4.1,0,0.501153664107249,0.432,0.003,0,0,RP5-1159O4.1
LGSN,0,0.497970076872335,0.401,0.001,0,0,LGSN
CEACAM1,0,0.493993988888286,0.415,0.002,0,0,CEACAM1
COL18A1,0,0.491240849633553,0.436,0.014,0,0,COL18A1
COL4A3,0,0.468055721326558,0.38,0.001,0,0,COL4A3
NEAT1,0,0.463827179304396,0.999,0.973,0,0,NEAT1
TIMP3,0,0.462213820274248,0.372,0.003,0,0,TIMP3
COL4A4,0,0.446035374022259,0.382,0.004,0,0,COL4A4
MFSD4,0,0.43773344777114,0.381,0.002,0,0,MFSD4
HAGLR,0,0.423837271891878,0.369,0.001,0,0,HAGLR
KCNK5,0,0.41969944069936,0.368,0.003,0,0,KCNK5
